,Tgl Transaksi,Total
"4,16-12-2023,""7.000,00"""
"5,17-12-2023,""15.139,30"""
"6,17-12-2023,""1.269,80"""
"7,17-12-2023,""33.581,50"""
"8,17-12-2023,""14.020,40"""
"9,17-12-2023,""37.385,56"""
"10,18-12-2023,""63.750,00"""
"11,18-12-2023,""103.710,00"""
"12,19-12-2023,""96.756,00"""
"13,19-12-2023,""100.320,00"""
"14,20-12-2023,""138.320,00"""
"15,20-12-2023,""7.000,00"""
"16,20-12-2023,""39.400,00"""
"17,20-12-2023,""10.000,00"""
"18,20-12-2023,""30.800,00"""
"19,20-12-2023,""20.250,00"""
"20,20-12-2023,""32.500,00"""
"21,20-12-2023,""39.040,00"""
"22,20-12-2023,""28.066,00"""
"23,20-12-2023,""11.100,00"""
"24,20-12-2023,""15.000,00"""
"25,21-12-2023,""5.500,00"""
"26,21-12-2023,""127.560,00"""
"27,21-12-2023,""6.500,00"""
"28,21-12-2023,""2.860,00"""
"29,21-12-2023,""60.631,00"""
"30,21-12-2023,""58.800,00"""
"31,22-12-2023,""87.060,00"""
"32,22-12-2023,""40.200,00"""
"33,22-12-2023,""3.800,00"""
"34,22-12-2023,""101.356,00"""
"35,22-12-2023,""26.000,00"""
"36,22-12-2023,""46.500,00"""
"37,23-12-2023,""38.000,00"""
"38,23-12-2023,""81.950,00"""
"39,23-12-2023,""88.000,00"""
44,Tgl Transaksi,Total
"45,23-12-2023,""15.000,00"""
"46,23-12-2023,""70.200,00"""
"47,23-12-2023,""85.750,00"""
"48,23-12-2023,""34.500,00"""
"49,25-12-2023,""11.000,00"""
"50,25-12-2023,""17.100,00"""
"51,25-12-2023,""4.000,00"""
"52,25-12-2023,""29.000,00"""
"53,25-12-2023,""31.300,00"""
"54,25-12-2023,""52.216,00"""
"55,25-12-2023,""7.700,00"""
"56,26-12-2023,""26.696,00"""
"57,26-12-2023,""23.500,00"""
"58,26-12-2023,""21.000,00"""
"59,26-12-2023,""15.100,00"""
"60,26-12-2023,""29.650,00"""
